Name_of_region;2019_rent;2020_rent;2021_rent;2022_rent
Алтайский край;7778;8522;10367;12874
Амурская область;10387;13261;16808;18546
Архангельская область;10326;10910;12346;14693
Астраханская область;6924;7649;8634;10519
Белгородская область;7637;7759;10236;13738
Брянская область;5504;5791;6515;9871
Владимирская область;6860;6901;8570;10801
Волгоградская область;6694;7204;7902;8787
Вологодская область;6328;7090;7807;10111
Воронежская область;8068;8231;9498;11850
Еврейская автономная область;6489;6722;8143;9336
Забайкальский край;8592;9956;11989;15729
Ивановская область;6320;6282;7222;10138
Иркутская область;7648;8336;10906;14857
Кабардино-Балкарская Республика;5388;6156;9426;9457
Калининградская область;8303;9276;11557;17089
Калужская область;8351;8402;10024;13091
Камчатский край;10647;11099;12281;16424
Карачаево-Черкесская Республика;7553;8154;9044;11664
Кемеровская область;6749;7018;8614;12201
Кировская область;6435;6798;7832;10430
Костромская область;5768;5729;6904;8841
Краснодарский край;9798;10149;12300;33109
Красноярский край;7704;8550;10554;11535
Курганская область;5828;6465;7319;8818
Курская область;6948;7632;9116;10807
Ленинградская область;8547;13097;10903;11644
Липецкая область;6899;6852;7969;11678
Магаданская область;8067;8691;10782;12977
Москва;27573;29369;40407;43238
Московская область;12483;13982;15036;17293
Мурманская область;8013;8775;10998;13965
Ненецкий автономный округ;10843;10166;12048;13472
Нижегородская область;10433;10835;13570;15873
Новгородская область;6583;6701;7696;8967
Новосибирская область;9348;9831;11357;13535
Омская область;7132;7605;9476;11743
Оренбургская область;6639;6925;6302;6251
Орловская область;5658;6401;7804;10395
Пензенская область;6835;7528;8800;9537
Пермский край;7810;8158;10348;14315
Приморский край;16090;16949;20331;21774
Псковская область;6038;6522;8054;10471
Республика Адыгея;7501;7168;10579;13861
Республика Алтай;7799;9417;11384;16579
Республика Башкортостан;9804;9882;11195;13731
Республика Бурятия;8404;9474;12384;13579
Республика Дагестан;8120;8459;9505;11553
Республика Ингушетия;5715;5707;6759;7886
Республика Калмыкия;6381;6127;8313;8872
Республика Карелия;7926;7840;10318;12925
Республика Коми;8351;8629;8599;10508
Республика Крым;9752;9959;12648;17685
Республика Марий Эл;5951;6038;6827;8558
Республика Мордовия;6779;6932;7546;10271
Республика Саха (Якутия);12900;13505;13433;18608
Республика Северная Осетия — Алания;7336;7923;6760;8474
Республика Татарстан;12534;12668;13005;18501
Республика Тыва;10316;11379;14810;17864
Республика Хакасия;7881;7719;8208;9082
Республика Чувашия;5936;7647;8938;11063
Ростовская область;8811;9037;9553;10700
Рязанская область;6972;7027;8594;10216
Самарская область;7404;7871;8751;12038
Санкт-Петербург;17275;17868;23464;23860
Саратовская область;6138;6737;7915;10575
Сахалинская область;18489;21038;19423;23785
Свердловская область;10402;10346;11765;15219
Севастополь;12257;13999;15388;18525
Смоленская область;5840;5850;6754;8081
Ставропольский край;5719;6842;6903;10572
Тамбовская область;6035;6309;7548;9942
Тверская область;8031;8285;9745;12265
Томская область;7203;7415;9650;12997
Тульская область;7942;8792;12666;13861
Тюменская область;8351;10411;9963;14693
Удмуртская Республика;7588;8358;9580;10942
Ульяновская область;7070;7363;8400;9539
Хабаровский край;11607;12702;14743;16191
Ханты-Мансийский АО;10259;10971;12965;16650
Челябинская область;5901;5825;6454;9755
Чеченская Республика;7528;7537;8447;10069
Чукотский автономный округ;10647;11099;12281;16424
Ямало-Ненецкий автономный округ;10341;10341;9047;15371
Ярославская область;7538;7744;8319;9164